Temperature (K),h Reference,h GRI,h Pure,h CP HEOS,h CP SRK,h CP PR,u Reference,u GRI,u Pure,u CP HEOS,u CP SRK,u CP PR,s Reference,s GRI,s Pure,s CP HEOS,s CP SRK,s CP PR,cp Reference,cp GRI,cp Pure,cp CP HEOS,cp CP SRK,cp CP PR,cv Reference,cv GRI,cv Pure,cv CP HEOS,cv CP SRK,cv CP PR,rho Reference,rho GRI,rho Pure,rho CP HEOS,rho CP SRK,rho CP PR
170.0,,120.7769866582675,212.87085220511705,211.73045540513357,355.1135784996488,322.4758415188169,,86.99737104604418,203.3460712911374,202.19470586202561,235.012855547055,211.1789218907366,,1.3519057318948424,1.9315862165543671,1.9185884687227526,2.3083878673927267,2.0629075204558585,3.4155,0.9127625201754517,3.4207611508790294,3.415528922819265,2.541334418599383,2.3578163435556467,0.82509,0.6529193231583493,0.834746150826705,0.8250912577866821,0.720084848071216,0.7027577609031657,583.44,229.3804181163444,583.7627139962929,583.4358316151012,229.3804181163444,229.3804181163444
180.0,,129.899568765248,248.03099635641954,246.90369306432345,369.0362830640491,335.81675782296844,,93.52152118285366,232.41163801342697,231.26548446534795,244.3987175875428,220.2204206713173,,1.4040492262708235,2.1325862164622804,2.1196613521760956,2.371516151301893,2.123783602683917,3.3102,0.9118003330734602,3.319071814407708,3.3101869617295203,2.006755810057945,1.9057544959735795,0.81576,0.6519571360563579,0.8280562049821723,0.8157629894136138,0.7146587724992779,0.6987916186889935,431.73,216.63706155432527,432.05636478613326,431.73224573343936,216.63706155432527,216.63706155432527
190.0,,139.0139028017749,276.6598912735034,275.3063254169876,382.45001264704774,348.7321746986212,,100.03742324920952,254.3371150637832,253.0107434376563,253.48368902258488,229.00667313875792,,1.4533280657681336,2.2875943572970647,2.273447169165847,2.430413723560613,2.180748439272578,2.4202,0.91111099732581,2.436029911809083,2.420249756243029,1.7274634886366995,1.66174012619556,0.78124,0.6512678003087076,0.7810452764531449,0.7812399081235969,0.7099633585259698,0.6953648446845425,336.33,205.23511094620287,336.01148428956185,336.3286653466335,205.23511094620287,205.23511094620287
200.0,,148.12266035576818,298.05483942443743,296.700396082556,395.428665742412,361.282125648644,,106.54774883303179,269.9830407521574,268.6820441686175,262.31220728549175,237.57453269883075,,1.5000499778944536,2.3974525626791485,2.383294755457193,2.485613100873159,2.2342767349000807,1.9134,0.9106831615222258,1.9015991191544617,1.9133882326625866,1.555964378103449,1.5091398323814338,0.75169,0.6508399645051236,0.7431704061305772,0.7516856021742898,0.7058984784834949,0.6924103100536438,282.64,194.97335539889275,282.20899674009996,282.639524724651,194.97335539889275,194.97335539889275
210.0,,157.22840051247772,315.5180466546456,314.3295480018209,408.0330605388972,373.51624733730944,,113.05505701957031,282.4657844690139,281.3152091445523,270.92079523691234,245.95444953898735,,1.5444770688571476,2.4827115933254995,2.4693620365763453,2.5375546255923673,2.284763577877339,1.6377,0.9105056765390127,1.6186533080246015,1.6377096188706217,1.440108387738716,1.4048367184009716,0.73067,0.6506624795219105,0.7193162188518774,0.7306660153582184,0.7023884294212901,0.6898783890633826,248.07,185.68890990370735,247.83106699948348,248.06871379519237,185.68890990370735,185.68890990370735
220.0,,166.33357187734964,330.81284370870713,329.81161488372356,420.31377257766854,385.4760284745191,,119.56179641427121,293.2741254980213,292.2849808314246,279.33983061005256,254.17189244228857,,1.5868343291492768,2.553892634807888,2.5414145234749275,2.586606526436042,2.332541354521727,1.4713,0.9105675955390554,1.4536331424238846,1.471289916270284,1.3567627798596562,1.3291896117301518,0.71592,0.6507243985219532,0.7046237891975617,0.7159150885026412,0.6993756409751948,0.6877323524200024,223.39,177.2485049080843,223.3246790830093,223.39030210492422,177.2485049080843,177.2485049080843
230.0,,175.44051459889158,344.7857772315397,343.9425132368782,432.3132712573664,397.1965003772008,,126.07030716564213,303.0915634962612,302.23822200578576,287.5948660795622,262.248411009962,,1.627316246889238,2.616022108453587,2.60424682356435,2.633079838218653,2.3778924073402257,1.3619,0.9108581739718191,1.348091462769161,1.3618611298230916,1.2940933655778124,1.2719697846936304,0.70542,0.6510149769547169,0.6955332463077215,0.7054162692401139,0.6968158870563009,0.6859448020996206,204.55,169.54204817295022,204.58679594674786,204.55031285384652,169.54204817295022,169.54204817295022
240.0,,184.55146239153896,357.88390919963035,357.1570524714573,444.06754561206304,408.7075221232519,,132.5828229881185,312.26975794656374,311.51825768169806,295.7076243866646,270.2024372052301,,1.6660920126313745,2.671778151175626,2.660498931391283,2.6772396620932133,2.4210586446509543,1.2853,0.9113668695733483,1.2757182180848272,1.2852563909347219,1.245416711753254,1.2273259940397219,0.69783,0.6515236725562461,0.6899181043808958,0.6978275567462691,0.6946746166352091,0.6844949028220673,189.5,162.47779616574394,189.58177140792162,189.49880678216152,162.47779616574394,162.47779616574394
250.0,,193.66854455852024,370.3664929262278,369.7152315590213,455.60735319928335,420.03476709038597,,139.10147318492875,321.00885906585114,320.3260246086309,303.696755245165,278.0498952850821,,1.7033096609788028,2.722741795660442,2.7117717092328877,2.7193137787779897,2.4622489322019794,1.2291,0.9120833423662681,1.2234316228793378,1.2290988373036287,1.206672544556447,1.1916690281202624,0.69229,0.6522401453491657,0.6865213545778063,0.6922895376155944,0.6929241456129267,0.6833662460757112,177.08,155.9786843191142,177.1723447404977,177.07843647532206,155.9786843191142,155.9786843191142
260.0,,202.79378801472333,382.3955244834794,381.78387592740677,466.95918772849234,431.20048688677804,,145.62828467096082,329.43204044250564,328.78826766118954,311.5784156167704,285.80466931831216,,1.7390993994189619,2.7699255480833727,2.7591112491703114,2.7594993196238367,2.5016448485647222,1.1865,0.912997454659783,1.1841293117317728,1.1864829315338234,1.175251298176801,1.1626745924640067,0.68825,0.6531542576426805,0.6845867182752929,0.6882466396194229,0.6915415261963729,0.6825452272763531,166.58,149.97950415299442,166.66412431456084,166.57951443270247,149.97950415299442,149.97950415299442
270.0,,211.9291193095609,394.07840840336297,393.4761136360682,478.1460347742644,442.2241076743003,,152.16518399562733,337.61988099749544,336.98973535682643,319.3667178183901,293.47896394414687,,1.7735763085806275,2.8140207457916913,2.8032420745258277,2.7979679942710307,2.5394052183733264,1.1533,0.9140992710496778,1.153672620558263,1.1532825297693023,1.1493985982366752,1.1387705563902237,0.68533,0.6542560740325755,0.6836494159646163,0.6853316059887876,0.6905069552248204,0.682019842049205,157.54,144.42470770288352,157.6037801238643,157.53858348616393,144.42470770288352,144.42470770288352
280.0,,221.07636664983642,405.489866347795,404.87213254821614,489.1879665089365,453.1226992531198,,158.71399936573187,345.6277607175946,344.9898007909044,327.07407801148446,301.0835845823548,,1.8068425511762887,2.8555241906515394,2.844689616868436,2.834870232892649,2.5756697222489766,1.1269,0.9153790584183175,1.1295083380256188,1.1268923410633827,1.1278905495433018,1.1188546087798614,0.6833,0.6555358614012151,0.6834178993171581,0.683295235606917,0.6898026117565331,0.6817788233210733,149.64,139.26668242778055,149.67970365332533,149.6377445334415,139.26668242778055,139.26668242778055
290.0,,230.23726192260992,416.6839996910535,416.0308658851497,500.1026132823292,463.9113468898422,,165.27646266833432,353.4953302204914,352.8316785116454,334.7114891768069,308.6281565834045,,1.8389891931481137,2.8948078836658646,2.8838492692388153,2.8703385032622135,2.6105618017302814,1.1056,0.9168272859346465,1.1099855758858694,1.1055912440220643,1.109846297868568,1.1021299712200896,0.68196,0.6569840889175442,0.6837056259156218,0.6819637171528161,0.689411834334978,0.6818110520474681,142.65,134.46438303371914,142.66884360071492,142.65021680776476,134.46438303371914,134.46438303371914
300.0,,239.41344271806375,427.7013215445644,426.9969476817035,510.90554040377526,474.60344837300096,,171.85421149361713,361.25197912977586,360.5478393536967,342.28873658516767,316.1212979335814,,1.8700977159505245,2.932159844847249,2.9210276529548818,2.904489993966591,2.6441910204415318,1.0882,0.9184346250541899,1.0939936678560969,1.0881983988541286,1.0946146525795408,1.0880053691643385,0.68121,0.6585914280370877,0.6843907673652977,0.6812123271595881,0.6893185636899026,0.682105183530316,136.41,129.98223693259519,136.406252722214,136.40896732785046,129.98223693259519,129.98223693259519
310.0,,248.60645435236847,438.57305162256637,437.80504770397937,521.6105515455603,485.2109532867528,,178.44879115775086,368.92014748877097,368.1633456776771,349.8145693148561,323.57075654169523,,1.9002412807718811,2.9678092401972163,2.9564685039334955,2.937428805863521,2.6766550017372017,1.0739,0.9201919495190523,1.0807593232309711,1.0738771066899309,1.0817027804176431,1.0760317763970906,0.68095,0.6603487525019499,0.6853919032617851,0.6809489042037168,0.6895069892110137,0.6826494395150965,130.79,125.78926154767274,130.76665941787806,130.78766743652162,125.78926154767274,125.78926154767274
