Pressure (atm),h Reference,h GRI,h Pure,h CP HEOS,h CP SRK,h CP PR,u Reference,u GRI,u Pure,u CP HEOS,u CP SRK,u CP PR,s Reference,s GRI,s Pure,s CP HEOS,s CP SRK,s CP PR,cp Reference,cp GRI,cp Pure,cp CP HEOS,cp CP SRK,cp CP PR,cv Reference,cv GRI,cv Pure,cv CP HEOS,cv CP SRK,cv CP PR,rho Reference,rho GRI,rho Pure,rho CP HEOS,rho CP SRK,rho CP PR
247.0,-50.09,0.0,-50.57813770273904,-50.090555034318214,-48.602587938432755,-50.090555034318214,-47.37,0.0,-47.862014788366736,-47.36919703075045,-48.04219755952503,-47.36919703075045,-1.5724,-1.4315770789981483,-1.574218905636573,-1.5723203333652218,-1.5746606760239774,-1.5723203333652218,1.2789,0.9184346250541899,1.28272063441844,1.2789058546780767,1.2897826773518075,1.2789058546780767,0.70384,0.6585914280370877,0.7106545659650788,0.7038411652266658,0.7308174111604882,0.7038411652266658,332.9,321.0561252235101,332.8801888757718,332.89975506740507,323.5689930336448,332.89975506740507
248.0,-50.22,0.0,-50.70868128442602,-50.22177313940227,-48.7229226396289,-50.22177313940227,-47.53,1.4210854715202004e-14,-48.024423323170936,-47.532870712514736,-48.198623670338506,-47.532870712514736,-1.5738,-1.4326269519295032,-1.5756668459536014,-1.5737704665393002,-1.576103753823364,-1.5737704665393002,1.2797,0.9184346250541899,1.2834777926639465,1.2796507364030685,1.2905308287265853,1.2796507364030685,0.70395,0.6585914280370877,0.710823707118571,0.703953374875918,0.7310518534818127,0.703953374875918,334.1,322.35594759283606,334.0862874697827,334.1032925753525,324.7274667800646,334.1032925753525
249.0,-50.35,0.0,-50.83855595518869,-50.3523221291278,-48.84263988710032,-50.3523221291278,-47.7,0.0,-48.186458248848865,-47.69618336717339,-48.35466808639679,-47.69618336717339,-1.5753,-1.4336726000086601,-1.5771089103350233,-1.5752147313281675,-1.5775410661321294,-1.5752147313281675,1.2804,0.9184346250541899,1.2842275649120747,1.2803880931785612,1.2912723122694758,1.2803880931785612,0.70407,0.6585914280370877,0.7109929250061314,0.7040651540997378,0.7312857237413248,0.7040651540997378,335.3,323.65576996216197,335.2900487676597,335.30441892633377,325.8838680328088,335.30441892633377
250.0,-50.48,0.0,-50.967762715782975,-50.48220303732718,-48.961741227300834,-50.48220303732718,-47.86,1.4210854715202004e-14,-48.34811925669341,-47.859134680044576,-48.51033114490393,-47.859134680044576,-1.5767,-1.43471405710231,-1.5785451352816526,-1.576653164447469,-1.5789726509648572,-1.576653164447469,1.2811,0.9184346250541899,1.284969971512769,1.2811179539132749,1.292007159385103,1.2811179539132749,0.70418,0.6585914280370877,0.7111622218059994,0.7041765059981723,0.7315190224444066,0.7041765059981723,336.5,324.95559233148794,336.4914674520732,336.503128549199,327.0381942541757,336.503128549199
251.0,-50.61,0.0,-51.096302587212946,-50.611416921555765,-49.080228217796396,-50.611416921555765,-48.02,1.4210854715202004e-14,-48.50940605489345,-48.0217243560394,-48.665613195801065,-48.0217243560394,-1.5781,-1.435751356671548,-1.5799755569471614,-1.578085802275522,-1.580398545963557,-1.578085802275522,1.2818,0.9184346250541899,1.2857050334526188,1.2818403480192493,1.2927354017052402,1.2818403480192493,0.70429,0.6585914280370877,0.7113315996327504,0.7042874336643827,0.7317517501155291,0.7042874336643827,337.7,326.2554147008139,337.6905383683509,337.6994160460591,328.1904430141559,337.6994160460591
252.0,-50.74,0.0,-51.22417661055699,-50.73996486274386,-49.19810242700036,-50.73996486274386,-48.18,0.0,-48.670318368476,-48.183952119503346,-48.820514601589416,-48.183952119503346,-1.5796,-1.4367845317783265,-1.5814002111440573,-1.5795126808587157,-1.5818187884033295,-1.5795126808587157,1.2826,0.9184346250541899,1.2864327723639568,1.2825553053995609,1.2934570710802615,1.2825553053995609,0.7044,0.6585914280370877,0.7115010605645797,0.7043979401842105,0.7319839072979879,0.7043979401842105,338.89,327.55523707013987,338.8872565236685,338.8932761911672,329.34061198943215,338.8932761911672
253.0,-50.87,0.0,-51.35138584679111,-50.867847964848714,-49.315365433910834,-50.867847964848714,-48.35,1.4210854715202004e-14,-48.830855939245666,-48.34581771405559,-48.97503573715439,-48.34581771405559,-1.581,-1.4378136150917866,-1.5828191333495045,-1.5809338359167942,-1.583233415197883,-1.5809338359167942,1.2833,0.9184346250541899,1.2871532104975698,1.2832628564360935,1.294172199570698,1.2832628564360935,0.70451,0.6585914280370877,0.7116706066387556,0.7045080286357506,0.7322154945536395,0.7045080286357506,340.08,328.85505943946583,340.08161708621157,340.08470392977995,330.4886989623773,340.08470392977995
254.0,-50.99,0.0,-51.47793137660799,-50.99506735450629,-49.43201882784962,-50.99506735450629,-48.51,0.0,-48.991018525720705,-48.50732090242641,-49.12917698958979,-48.50732090242641,-1.5824,-1.438838638894449,-1.5842323587110343,-1.5823493028480171,-1.584642462904958,-1.5823493028480171,1.284,0.9184346250541899,1.2878663707227023,1.2839630319773343,1.2948808194388877,1.2839630319773343,0.70462,0.6585914280370877,0.7118402398516189,0.7046177020889345,0.7324465124626379,0.7046177020889345,341.27,330.15488180879174,341.27361538431774,341.2736943769968,331.634701820048,341.2736943769968
255.0,-51.12,0.0,-51.603814300233445,-51.12162418068314,-49.548064208204075,-51.12162418068314,-48.67,1.4210854715202004e-14,-49.15080590306667,-48.668461466293316,-49.282938758022766,-48.668461466293316,-1.5838,-1.439859635088288,-1.5856399220520965,-1.5837591167341871,-1.586045967731622,-1.5837591167341871,1.2847,0.9184346250541899,1.28857227653615,1.2846558633262362,1.29558296314073,1.2846558633262362,0.70473,0.6585914280370877,0.7120099621631307,0.7047269636051237,0.7326769616231706,0.7047269636051237,342.46,331.4547041781177,342.4632469055932,342.46024281658,332.77861855317707,342.46024281658
256.0,-51.25,0.0,-51.72903573723937,-51.247519614328574,-49.66350318417011,-51.247519614328574,-48.83,0.0,-49.31021786302689,-48.829239206115275,-49.43632145343907,-48.829239206115275,-1.5852,-1.440876635200695,-1.587041857877498,-1.5851633123455748,-1.5874439655394608,-1.5851633123455748,1.2853,0.9184346250541899,1.289270952012238,1.2853413822281243,1.296278663317541,1.2853413822281243,0.70484,0.6585914280370877,0.7121797754923246,0.7048358162367084,0.7329068426511999,0.7048358162367084,343.64,332.7545265474437,343.65050729600716,343.64434469975316,333.92044725516257,343.64434469975316
257.0,-51.37,0.0,-51.8535968263531,-51.37275484802676,-49.778337374498314,-51.37275484802676,-48.99,1.4210854715202004e-14,-49.46925421385025,-48.989653940965304,-49.58932549850954,-48.989653940965304,-1.5866,-1.441889670390319,-1.5884382003787039,-1.5865619241457143,-1.5888364918496463,-1.5865619241457143,1.286,0.9184346250541899,1.2899624218301051,1.286019620858663,1.2969679527880071,1.286019620858663,0.70494,0.6585914280370877,0.71234968171276,0.7049442630267193,0.7331361561801998,0.7049442630267193,344.83,334.05434891676964,344.8353923589644,344.82599564398316,335.06018612105623,344.82599564398316
258.0,-51.5,0.0,-51.97749872526399,-51.497331095649486,-49.892568407241896,-51.497331095649486,-49.15,0.0,-49.627914780215946,-49.149705508361976,-49.74195132741644,-49.149705508361976,-1.588,-1.4428987714527937,-1.589828983439019,-1.5879549862960949,-1.590223581847915,-1.5879549862960949,1.2867,0.9184346250541899,1.290646711241871,1.2866906118118866,1.297650864540245,1.2866906118118866,0.70505,0.6585914280370877,0.7125196826570686,0.7050523070084447,0.7333649028608974,0.7050523070084447,346.01,335.3541712860956,346.0178980543552,346.0051914317414,336.1978334465482,346.0051914317414
259.0,-51.62,0.0,-52.10074261042691,-51.62124959200918,-50.006197919506725,-51.62124959200918,-49.31,1.4210854715202004e-14,-49.78619940315566,-49.30939376409934,-49.894199385681596,-49.30939376409934,-1.5894,-1.4439039688263557,-1.591214240638652,-1.5893425326607458,-1.591605270389441,-1.5893425326607458,1.2874,0.9184346250541899,1.2913238460726382,1.2873543880882998,1.2983274317239637,1.2873543880882998,0.70516,0.6585914280370877,0.7126897801351448,0.7051599512050587,0.7335930833610148,0.7051599512050587,347.18,336.6539936554215,347.19802049758385,347.18192800924936,337.333387626953,347.18192800924936
260.0,-51.74,0.0,-52.22332967686197,-51.74451159251245,-50.11922755720373,-51.74451159251245,-49.47,0.0,-49.9441079399726,-49.46871858207512,-50.04607012999389,-49.46871858207512,-1.5908,-1.4449052925973493,-1.592594005259648,-1.5907245968106953,-1.5929815920035808,-1.5907245968106953,1.288,0.9184346250541899,1.2919938527204902,1.2880109830830409,1.2989976876427323,1.2880109830830409,0.70527,0.6585914280370877,0.712859975897766,0.7052671986292582,0.7338206983650107,0.7052671986292582,348.36,337.9538160247475,348.37575595857743,348.3562014852064,338.46684715619193,348.3562014852064
261.0,-51.87,0.0,-52.345261137952654,-51.86711837281455,-50.23165897480381,-51.86711837281455,-49.63,1.4210854715202004e-14,-50.10164026415843,-49.62767985411861,-50.19756402803896,-49.62767985411861,-1.5921,-1.4459027725056366,-1.593968310290716,-1.5921012120283595,-1.5943525808985597,-1.5921012120283595,1.2887,0.9184346250541899,1.2926567580973756,1.2886604305741256,1.2996616657463491,1.2886604305741256,0.70537,0.6585914280370877,0.7130302716684245,0.7053740522829075,0.7340477485738249,0.7053740522829075,349.53,339.2536383940734,349.551100860772,349.5280081295012,339.59821062577635,349.5280081295012
262.0,-51.99,0.0,-52.46653822523969,-51.98907122847412,-50.34349383509479,-51.98907122847412,-49.79,1.4210854715202004e-14,-50.258796265306785,-49.78627748981624,-50.34868155832848,-49.78627748981624,-1.5935,-1.446896437949893,-1.5953371884319427,-1.5934724113117964,-1.59571827096603,-1.5934724113117964,1.2893,0.9184346250541899,1.293312589679129,1.2893027647107718,1.3003193996233202,1.2893027647107718,0.70548,0.6585914280370877,0.7132006691433281,0.7054805151566926,0.7342742347046227,0.7054805151566926,350.7,340.55346076339936,350.7240517800803,350.6973443719084,340.72747672378995,350.6973443719084
263.0,-52.11,0.0,-52.587162188212844,-52.110371474609245,-50.45473380894045,-52.110371474609245,-49.94,0.0,-50.415575849024464,-49.94451141633728,-50.49942321003095,-49.94451141633728,-1.5949,-1.4478863179928076,-1.5967006720993906,-1.594838227378881,-1.597078695785558,-1.594838227378881,1.2899,0.9184346250541899,1.2939613754690926,1.2899380200017991,1.3009709229934379,1.2899380200017991,0.70559,0.6585914280370877,0.7133711699595673,0.7055865902297848,0.7345001574905416,0.7055865902297848,351.86,341.8532831327253,351.89460544384013,351.8642068007695,341.85464423387003,351.8642068007695
264.0,-52.23,0.0,-52.70713429409968,-52.231020445553995,-50.565380575042624,-52.231020445553995,-50.1,0.0,-50.57197893684008,-50.10238157825722,-50.649789482803286,-50.10238157825722,-1.5962,-1.4488724413661833,-1.5980587934295887,-1.5961986926713834,-1.598433888628997,-1.5961986926713834,1.2906,0.9184346250541899,1.2946031439890195,1.2905662313041208,1.301616269700471,1.2905662313041208,0.70569,0.6585914280370877,0.7135417757405899,0.7056922804695116,0.7347255176804379,0.7056922804695116,353.03,343.15310550205123,353.0627587297427,353.02859216166064,342.97971203419024,353.02859216166064
