Pressure (atm),h Reference,h GRI,h Pure,h CP HEOS,h CP SRK,h CP PR,u Reference,u GRI,u Pure,u CP HEOS,u CP SRK,u CP PR,s Reference,s GRI,s Pure,s CP HEOS,s CP SRK,s CP PR,cp Reference,cp GRI,cp Pure,cp CP HEOS,cp CP SRK,cp CP PR,cv Reference,cv GRI,cv Pure,cv CP HEOS,cv CP SRK,cv CP PR,rho Reference,rho GRI,rho Pure,rho CP HEOS,rho CP SRK,rho CP PR
18.0,-3.73000000000002,0.0,-3.7615681502177614,-3.736617930830107,-3.682837222676491,-3.736617930830107,-3.51999999999998,0.0,-3.5506512348881074,-3.523234052975458,-3.684390745473618,-3.523234052975458,-0.8695,-0.8578527855212945,-0.8695642607255607,-0.8695062976685495,-0.8700340082130342,-0.8695062976685495,1.0693,1.0378911357957465,1.0686575448572229,1.069280934273124,1.073414299551558,1.069280934273124,0.74737,0.7410944406378526,0.7465742020538043,0.7473695003488,0.7505337489496725,0.7473695003488,20.536,20.483718650457835,20.536468106102202,20.536187564958226,20.483856995357083,20.536187564958226
19.0,-3.94999999999999,0.0,-3.9785101950114474,-3.9521583010443138,-3.893341470889223,-3.9521583010443138,-3.72999999999999,1.4210854715202004e-14,-3.758798974073329,-3.7299782323772086,-3.8988533377808343,-3.7299782323772086,-0.886200000000001,-0.8738997581106833,-0.8862923646093348,-0.8862299471277147,-0.8867829002895132,-0.8862299471277147,1.0709,1.0378911357957465,1.0703062482580847,1.070925099344302,1.0752659022521476,1.070925099344302,0.74761,0.7410944406378526,0.7468124944632534,0.7476113651064089,0.7509525927979219,0.7476113651064089,21.679,21.621703019927715,21.679529829133386,21.679234058213744,21.620887859675694,21.679234058213744
20.0,-4.16000000000003,0.0,-4.194946609100269,-4.167203036690771,-4.103149001979153,-4.167203036690771,-3.94,1.4210854715202004e-14,-3.966851661718451,-3.936648800303461,-4.113048068964854,-3.936648800303461,-0.9021,-0.889123438368669,-0.9021961766727449,-0.9021293276948527,-0.9027068786964337,-0.9021293276948527,1.0726,1.0378911357957465,1.0719542261004535,1.0725689876144135,1.077114799200315,1.0725689876144135,0.74785,0.7410944406378526,0.7470499724929568,0.7478526264023683,0.7513709135153891,0.7478526264023683,22.822,22.759687389397595,22.822712436837545,22.822398547501045,22.757708032551655,22.822398547501045
21.0,-4.38,0.0,-4.410873491323189,-4.381748616963509,-4.312257575448486,-4.381748616963509,-4.13999999999999,0.0,-4.174806768859611,-4.143242983333359,-4.326972477857635,-4.143242983333359,-0.9173,-0.9036041978503677,-0.9173560554462137,-0.9172848019649419,-0.9178863088412199,-0.9172848019649419,1.0742,1.0378911357957465,1.0736014081986227,1.0742125265590152,1.0789609131466091,1.0742125265590152,0.74809,0.7410944406378526,0.7472866373161625,0.7480932823006223,0.7517887062954317,0.7480932823006223,23.966,23.897671758867475,23.965999735192014,23.96566456326249,23.894301180183373,23.96566456326249
22.0,-4.58999999999998,0.0,-4.626286950978072,-4.595791522510291,-4.520664985212206,-4.595791522510291,-4.34999999999999,1.4210854715202004e-14,-4.382661758721667,-4.349758007254247,-4.54062411918267,-4.349758007254247,-0.9317,-0.9174111847494979,-0.9318411363405339,-0.9317655089045711,-0.9323903326645204,-0.9317655089045711,1.0759,1.0378911357957465,1.0752477240667533,1.0758556433668236,1.0808041672493225,1.0758556433668236,0.74833,0.7410944406378526,0.7475224901379511,0.7483333309140169,0.7522059663624423,0.7483333309140169,25.109,25.035656128337354,25.109375455301258,25.10901558912116,25.03065099517313,25.10901558912116
23.0,-4.81,0.0,-4.841183108986806,-4.80932823631505,-4.728369059819495,-4.80932823631505,-4.55999999999997,1.4210854715202004e-14,-4.590414087278148,-4.556191097285133,-4.754000563826761,-4.556191097285133,-0.945600000000001,-0.9306043209744654,-0.945711328689395,-0.9456313609789649,-0.9462788657534611,-0.9456313609789649,1.0775,1.0378911357957465,1.0768931029870845,1.0774982649576565,1.0826444850896237,1.0774982649576565,0.74857,0.7410944406378526,0.747757532154308,0.7485727704043658,0.752622688972381,0.7485727704043658,26.252,26.173640497807234,26.252823255600735,26.252435062978794,26.166741198465342,26.252435062978794
24.0,-5.01999999999998,0.0,-5.05555809903903,-5.022355244575592,-4.935367662667239,-5.022355244575592,-4.75999999999999,1.4210854715202004e-14,-4.798061203806057,-4.762539478306659,-4.967099399107072,-4.762539478306659,-0.958900000000001,-0.9432358738811573,-0.9590188874557937,-0.9589346159253719,-0.9596041691038126,-0.9589346159253719,1.0791,1.0378911357957465,1.0785374740008398,1.079140318000515,1.0844817906865196,1.079140318000515,0.74881,0.7410944406378526,0.747991764593051,0.748811598982516,0.7530388694132965,0.748811598982516,27.396,27.311624867277114,27.3963267240697,27.395906378167833,27.30255554127545,27.395906378167833
25.0,-5.23000000000002,0.0,-5.269408068716802,-5.23486903757538,-5.141658692206663,-5.23486903757538,-4.97,1.4210854715202004e-14,-5.005600551437041,-4.9688003750965875,-5.179918229035131,-4.9688003750965875,-0.9717,-0.9553517069445219,-0.9718096638828229,-0.9717211274574347,-0.9724120998150747,-0.9717211274574347,1.0808,1.0378911357957465,1.080180765962796,1.0807817289317891,1.086316008511639,1.0807817289317891,0.74905,0.7410944406378526,0.7482251886956405,0.7490498149084088,0.7534545030058406,0.7490498149084088,28.539,28.449609236746994,28.53986938046579,28.539412884656535,28.438077807008902,28.539412884656535
26.0,-5.44,0.0,-5.482729180600115,-5.446866110550589,-5.3472400821417105,-5.446866110550589,-5.17999999999998,0.0,-5.213029567706428,-5.174971012570778,-5.39245467457638,-5.174971012570778,-0.984,-0.9669922849901527,-0.9841241107089012,-0.9840313505236136,-0.984743116341082,-0.9840313505236136,1.0824,1.0378911357957465,1.0818229075594734,1.0824224239735853,1.0881470635038348,1.0824224239735853,0.74929,0.7410944406378526,0.748457805698989,0.7492874164911388,0.753869585103777,0.7492874164911388,29.683,29.587593606216874,29.6834346785893,29.682937890306047,29.57329181316951,29.682937890306047
27.0,-5.64999999999998,0.0,-5.695517613355799,-5.6583429645496075,-5.552109801619488,-5.6583429645496075,-5.38,1.4210854715202004e-14,-5.4203456851015375,-5.381048616029846,-5.6047063739054135,-5.381048616029846,-0.995900000000001,-0.9781934896096365,-0.9959980975702427,-0.9959011567447505,-0.9966330939208783,-0.9959011567447505,1.0841,1.0378911357957465,1.0834638273182313,1.0840623291521592,1.0899748810835992,1.0840623291521592,0.74952,0.7410944406378526,0.7486896168763896,0.7495244020890102,0.7542841110944779,0.7495244020890102,30.826,30.72557797568675,30.82700600858219,30.826464662178132,30.70818141325664,30.826464662178132
