Temperature (K),h Reference,h GRI,h Pure,h CP HEOS,h CP SRK,h CP PR,u Reference,u GRI,u Pure,u CP HEOS,u CP SRK,u CP PR,s Reference,s GRI,s Pure,s CP HEOS,s CP SRK,s CP PR,cp Reference,cp GRI,cp Pure,cp CP HEOS,cp CP SRK,cp CP PR,cv Reference,cv GRI,cv Pure,cv CP HEOS,cv CP SRK,cv CP PR,rho Reference,rho GRI,rho Pure,rho CP HEOS,rho CP SRK,rho CP PR
310.0,,275.882109830489,431.8668866592879,432.6533984813954,546.7066794740805,527.7906556070793,,195.7470021378577,350.6549040860125,351.41599681252836,390.08426425915366,362.4799299651396,,2.076953179247853,2.8695139390420135,2.8754236739384544,3.5928507499760425,3.2331992966560805,1.1837,1.0387449591796316,1.1826199734921392,1.1836925333200328,1.1999567608408446,1.1947679734454,0.7637,0.7419482640217377,0.7623390893148463,0.7636965223886413,0.7818114909925401,0.7729424897319904,108.89,110.12751962611739,108.89886333020704,108.89001562461517,110.12751962611739,110.12751962611739
320.0,,286.2737953101133,443.6364005760057,444.4323576288215,558.5864760095308,539.592085726637,,203.17072066590305,358.951625221151,359.72350552191676,398.47740833364844,370.7964246775654,,2.109945356893539,2.9068815443229976,2.9128212874186006,3.6291828287637373,3.26900746525532,1.1724,1.0395912700246865,1.1715368358597644,1.1723624752095438,1.1881678394710395,1.1837948946286483,0.76252,0.7427945748667926,0.7613401934626964,0.7625200351260042,0.7803024700875908,0.7718588711236771,104.97,106.68603463780123,104.98059102320505,104.97382834071699,106.68603463780123,106.68603463780123
330.0,,296.6739254104572,455.30231429621915,456.10547570155836,570.3688071028265,551.3072144531466,,210.6028838146679,367.1809283344582,367.9616545347305,406.8119195840545,379.0613401522202,,2.1419482157063707,2.942780259202877,2.9487421873046666,3.6642558057068917,3.3036027706676756,1.1625,1.0404346289070765,1.161859351368004,1.1624827289800002,1.1777161906239302,1.174054504783202,0.76156,0.7436379337491826,0.7605322009109008,0.7615560092286638,0.778968103979163,0.7709172885060556,101.37,103.45312449726178,101.37117288711842,101.36653183676148,103.45312449726178,103.45312449726178
340.0,,307.0824926891502,466.877557523621,467.6861000073867,582.0631371914967,562.9441936631957,,218.04348414178202,375.3519667250613,376.13992407684935,415.0937113451457,387.2798354055644,,2.1730208105140174,2.9773364203852077,2.9833144247741696,3.698156939324296,3.337067311621618,1.1538,1.0412794222530666,1.1533707837318663,1.1538308228079133,1.1684222577540544,1.1653834569316452,0.76078,0.7444827270951727,0.7598957837401041,0.7607838150740018,0.7778009118493382,0.7701136319601062,98.03,100.41038554145996,98.03242751968351,98.02984173973825,100.41038554145996,100.41038554145996
350.0,,317.49953269733504,478.3731286396751,479.18559125224687,593.6779716732835,574.5103887793856,,225.49255719838794,383.47249806397895,384.26635756014497,423.3281369976809,395.45660581460874,,2.2032171841043655,3.010659772572768,3.016649149563997,3.730965027721615,3.3694754232411745,1.1462,1.042129862339021,1.1458994572322807,1.1462297869165172,1.1601393508288258,1.1576482260149517,0.76019,0.745333167181127,0.7594165738732075,0.760187513912833,0.7767947466991076,0.7694446930118313,94.932,97.54151738313254,94.9325316781805,94.93186964433494,97.54151738313254,97.54151738313254
360.0,,327.9251222381686,489.79848729555505,490.61372114223286,605.2209904144839,586.0124865718105,,232.9501797876426,391.5491806498785,392.347861531773,431.5200702487213,403.59594908562093,,2.2325869272533017,3.042846445699052,3.048843636191696,3.7627514764321868,3.4008946350299807,1.1395,1.042989987291402,1.1393077514776018,1.139537249173752,1.1527464887657248,1.1507386238793147,0.75975,0.7461932921335079,0.7590838022951797,0.7597546744753029,0.7759444768886676,0.7689079117528045,92.046,94.83203078915663,92.04470968167143,92.04580153537931,94.83203078915663,94.83203078915663
370.0,,338.359377625323,501.16185289062366,501.9789764275537,616.6991591201462,597.4565851056266,,240.41646822321803,399.58779632936626,400.39043265146995,439.6739714537669,411.7018196807414,,2.261175662005343,3.0739812660033907,3.0799836388344914,3.793581200272574,3.4313864825623264,1.1336,1.043863661086772,1.1334841004106697,1.1336374528899227,1.14614299309733,1.1445628957784033,0.75948,0.747066965928878,0.7588892980224977,0.7594754784564867,0.7752457205949418,0.7685011654841314,89.349,92.26900292999025,89.34624036111514,89.34889666693799,92.26900292999025,92.26900292999025
380.0,,348.80245294148625,512.4704341425327,513.2887939893029,628.1188224856309,608.8482689668093,,247.89157658780232,407.59342013291496,408.39933133633656,447.7939424843703,419.7778737515028,,2.28902546049228,3.1041395748855303,3.1101452480174117,3.8235133890320157,3.4610071987650888,1.1284,1.0447545735517918,1.1283370894667712,1.1284353303140482,1.1402443549359864,1.1390439682600553,0.75934,0.7479578783938979,0.7588267457320038,0.7593420396616991,0.7746946265458107,0.7682225944604713,86.822,89.84087127393786,86.81769415163545,86.82171878460603,89.84087127393786,89.84087127393786
390.0,,359.25453829686364,523.730607495369,524.5497444122112,639.4857823105602,620.1926723172461,,255.37569499160074,415.57055064426964,416.3792158844133,455.8837721775947,427.82750625491275,,2.3161752093400785,3.1333886784337865,3.1393963721461784,3.852602160870102,3.48980830559331,1.1239,1.0456662403632213,1.1237910432832028,1.123852046309373,1.134979041696112,1.134116547933441,0.75935,0.7488695452053274,0.7588911326231687,0.7593478835735817,0.7742876952333649,0.7680704606783496,84.448,87.53725918999075,84.44233960683412,84.44753840638067,87.53725918999075,87.53725918999075
400.0,,369.71585808767827,534.9480570656657,535.7676766092395,650.8053631711416,631.4945318688895,,262.86904783083645,423.5232110704225,424.334246952716,463.94697403315814,435.8538816301198,,2.3426609279325477,3.1617890159383473,3.167797932742147,3.8808971226494466,3.5178371229123746,1.1198,1.04660200304792,1.1197826885876294,1.1198216094997486,1.1302860068685703,1.1297248576189867,0.75949,0.7498053078900258,0.759078335267598,0.7594875490067776,0.7740216354328516,0.7680430359128757,82.212,85.34882771024097,82.20567642103231,82.21186281513049,85.34882771024097,85.34882771024097
