Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Adjusted Internal Energy,Adjusted Enthalpy,Adjusted Entropy
300,167,1004,0.00099604,111.19,128.04,0.3883,4.0772,4.1358,1529.8,-0.040087,852.64,0.61869,liquid,-1.36,15.39,-0.00476000000000004
300,168,1004,0.000996,111.18,128.13,0.38827,4.0769,4.1356,1529.9,-0.040087,852.64,0.61874,liquid,-1.36999999999999,15.48,-0.00479000000000002
300,169,1004.1,0.00099595,111.17,128.23,0.38824,4.0766,4.1353,1530.1,-0.040086,852.63,0.6188,liquid,-1.38,15.58,-0.00482000000000005
300,170,1004.1,0.00099591,111.16,128.32,0.38821,4.0763,4.1351,1530.3,-0.040085,852.63,0.61885,liquid,-1.39,15.67,-0.00485000000000002
300,171,1004.2,0.00099586,111.16,128.41,0.38819,4.076,4.1348,1530.4,-0.040085,852.62,0.6189,liquid,-1.39,15.76,-0.00487000000000004
300,172,1004.2,0.00099582,111.15,128.5,0.38816,4.0757,4.1346,1530.6,-0.040084,852.62,0.61896,liquid,-1.39999999999999,15.85,-0.00490000000000002
300,173,1004.2,0.00099578,111.14,128.59,0.38813,4.0753,4.1343,1530.8,-0.040084,852.62,0.61901,liquid,-1.41,15.94,-0.00493000000000005
300,174,1004.3,0.00099573,111.13,128.69,0.3881,4.075,4.1341,1531,-0.040083,852.61,0.61907,liquid,-1.42,16.04,-0.00496000000000002
300,175,1004.3,0.00099569,111.12,128.78,0.38807,4.0747,4.1338,1531.1,-0.040083,852.61,0.61912,liquid,-1.42999999999999,16.13,-0.00498999999999999
300,176,1004.4,0.00099565,111.12,128.87,0.38804,4.0744,4.1336,1531.3,-0.040082,852.6,0.61917,liquid,-1.42999999999999,16.22,-0.00502000000000002
300,177,1004.4,0.0009956,111.11,128.96,0.38801,4.0741,4.1333,1531.5,-0.040081,852.6,0.61923,liquid,-1.44,16.31,-0.00505
300,178,1004.5,0.00099556,111.1,129.06,0.38798,4.0738,4.1331,1531.6,-0.040081,852.6,0.61928,liquid,-1.45,16.41,-0.00508000000000003
300,179,1004.5,0.00099552,111.09,129.15,0.38795,4.0735,4.1328,1531.8,-0.04008,852.59,0.61933,liquid,-1.45999999999999,16.5,-0.00511
300,180,1004.5,0.00099547,111.08,129.24,0.38792,4.0732,4.1326,1532,-0.04008,852.59,0.61939,liquid,-1.47,16.59,-0.00514000000000003
300,181,1004.6,0.00099543,111.08,129.33,0.38789,4.0729,4.1323,1532.1,-0.040079,852.59,0.61944,liquid,-1.47,16.68,-0.00517000000000001
300,182,1004.6,0.00099539,111.07,129.42,0.38786,4.0726,4.1321,1532.3,-0.040079,852.58,0.6195,liquid,-1.48,16.77,-0.00520000000000004
300,183,1004.7,0.00099534,111.06,129.52,0.38783,4.0723,4.1318,1532.5,-0.040078,852.58,0.61955,liquid,-1.48999999999999,16.87,-0.00523000000000001
300,184,1004.7,0.0009953,111.05,129.61,0.3878,4.072,4.1316,1532.7,-0.040077,852.58,0.6196,liquid,-1.5,16.96,-0.00526000000000004
300,185,1004.8,0.00099526,111.04,129.7,0.38777,4.0717,4.1313,1532.8,-0.040077,852.57,0.61966,liquid,-1.50999999999999,17.05,-0.00529000000000002
300,186,1004.8,0.00099521,111.03,129.79,0.38774,4.0714,4.1311,1533,-0.040076,852.57,0.61971,liquid,-1.52,17.14,-0.00532000000000005
300,187,1004.9,0.00099517,111.03,129.88,0.38771,4.0711,4.1308,1533.2,-0.040076,852.56,0.61976,liquid,-1.52,17.23,-0.00535000000000002
300,188,1004.9,0.00099513,111.02,129.98,0.38768,4.0708,4.1306,1533.3,-0.040075,852.56,0.61982,liquid,-1.53,17.33,-0.00538
300,189,1004.9,0.00099508,111.01,130.07,0.38765,4.0705,4.1303,1533.5,-0.040075,852.56,0.61987,liquid,-1.53999999999999,17.42,-0.00541000000000003
300,190,1005,0.00099504,111,130.16,0.38762,4.0702,4.1301,1533.7,-0.040074,852.55,0.61992,liquid,-1.55,17.51,-0.00544
300,191,1005,0.000995,110.99,130.25,0.3876,4.0699,4.1298,1533.8,-0.040073,852.55,0.61998,liquid,-1.56,17.6,-0.00546000000000002
300,192,1005.1,0.00099495,110.99,130.34,0.38757,4.0696,4.1296,1534,-0.040073,852.55,0.62003,liquid,-1.56,17.69,-0.00549
300,193,1005.1,0.00099491,110.98,130.43,0.38754,4.0693,4.1293,1534.2,-0.040072,852.54,0.62009,liquid,-1.56999999999999,17.78,-0.00552000000000003
