Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K)
850,100,27.311,0.036615,3196.5,3567.5,6.8311,1.8354,2.4776,687.58,0.66949,32.182,0.084416,vapor,3196.33941,3557.256,6.83060565
860,100,26.917,0.037151,3215.8,3592.2,6.86,1.8365,2.4699,692.37,0.64791,32.591,0.085605,vapor,3215.63941,3581.956,6.85950565
870,100,26.537,0.037683,3235.1,3616.9,6.8885,1.8381,2.4633,697.08,0.62726,32.998,0.086813,vapor,3234.93941,3606.656,6.88800565
880,100,26.17,0.038212,3254.3,3641.5,6.9166,1.8401,2.4577,701.73,0.60748,33.404,0.088038,vapor,3254.13941,3631.256,6.91610565
890,100,25.814,0.038738,3273.5,3666,6.9444,1.8424,2.453,706.3,0.58853,33.808,0.08928,vapor,3273.33941,3655.756,6.94390565
900,100,25.471,0.039261,3292.8,3690.6,6.9718,1.8451,2.4491,710.81,0.57037,34.21,0.090537,vapor,3292.63941,3680.356,6.97130565
910,100,25.138,0.039781,3312,3715,6.9988,1.8481,2.446,715.26,0.55294,34.61,0.091809,vapor,3311.83941,3704.756,6.99830565
920,100,24.815,0.040298,3331.2,3739.5,7.0255,1.8514,2.4435,719.65,0.53621,35.009,0.093094,vapor,3331.03941,3729.256,7.02500565
930,100,24.502,0.040813,3350.4,3763.9,7.0519,1.8549,2.4416,723.98,0.52015,35.407,0.094392,vapor,3350.23941,3753.656,7.05140565
940,100,24.198,0.041326,3369.6,3788.3,7.078,1.8586,2.4403,728.26,0.50472,35.803,0.095702,vapor,3369.43941,3778.056,7.07750565
950,100,23.903,0.041836,3388.8,3812.7,7.1039,1.8626,2.4395,732.49,0.48988,36.198,0.097023,vapor,3388.63941,3802.456,7.10340565
960,100,23.616,0.042344,3408.1,3837.1,7.1294,1.8668,2.4392,736.67,0.47562,36.592,0.098354,vapor,3407.93941,3826.856,7.12890565
970,100,23.337,0.042851,3427.3,3861.5,7.1547,1.8711,2.4393,740.8,0.46189,36.984,0.099693,vapor,3427.13941,3851.256,7.15420565
980,100,23.065,0.043355,3446.6,3885.9,7.1797,1.8756,2.4398,744.89,0.44868,37.374,0.10105,vapor,3446.43941,3875.656,7.17920565
990,100,22.801,0.043858,3465.9,3910.3,7.2045,1.8803,2.4406,748.93,0.43595,37.764,0.10241,vapor,3465.73941,3900.056,7.20400565
1000,100,22.543,0.044359,3485.2,3934.7,7.229,1.8851,2.4418,752.93,0.42369,38.152,0.10378,vapor,3485.03941,3924.456,7.22850565
1010,100,22.292,0.044859,3504.6,3959.1,7.2533,1.89,2.4433,756.9,0.41188,38.539,0.10516,vapor,3504.43941,3948.856,7.25280565
1020,100,22.047,0.045357,3524,3983.6,7.2774,1.895,2.4451,760.82,0.40048,38.925,0.10654,vapor,3523.83941,3973.356,7.27690565
1030,100,21.809,0.045853,3543.4,4008,7.3013,1.9001,2.4472,764.71,0.38949,39.309,0.10794,vapor,3543.23941,3997.756,7.30080565
1040,100,21.576,0.046349,3562.9,4032.5,7.3249,1.9054,2.4495,768.56,0.37888,39.692,0.10934,vapor,3562.73941,4022.256,7.32440565
1050,100,21.348,0.046842,3582.4,4057,7.3484,1.9107,2.452,772.38,0.36864,40.074,0.11074,vapor,3582.23941,4046.756,7.34790565
1060,100,21.126,0.047335,3601.9,4081.6,7.3716,1.9161,2.4548,776.16,0.35875,40.455,0.11215,vapor,3601.73941,4071.356,7.37110565
1070,100,20.909,0.047827,3621.5,4106.1,7.3947,1.9215,2.4577,779.91,0.34919,40.835,0.11357,vapor,3621.33941,4095.856,7.39420565
1080,100,20.697,0.048317,3641.1,4130.7,7.4176,1.927,2.4608,783.63,0.33996,41.214,0.11499,vapor,3640.93941,4120.456,7.41710565
1090,100,20.489,0.048806,3660.8,4155.3,7.4403,1.9326,2.4641,787.32,0.33103,41.591,0.11642,vapor,3660.63941,4145.056,7.43980565
1100,100,20.286,0.049295,3680.5,4180,7.4628,1.9382,2.4675,790.98,0.32239,41.967,0.11785,vapor,3680.33941,4169.756,7.46230565
1110,100,20.088,0.049782,3700.3,4204.7,7.4851,1.9439,2.4711,794.62,0.31404,42.342,0.11929,vapor,3700.13941,4194.456,7.48460565
1120,100,19.893,0.050268,3720.1,4229.4,7.5073,1.9496,2.4748,798.22,0.30595,42.716,0.12073,vapor,3719.93941,4219.156,7.50680565
1130,100,19.703,0.050754,3739.9,4254.2,7.5293,1.9553,2.4786,801.8,0.29812,43.089,0.12218,vapor,3739.73941,4243.956,7.52880565
1140,100,19.517,0.051238,3759.8,4279,7.5512,1.9611,2.4826,805.35,0.29053,43.461,0.12363,vapor,3759.63941,4268.756,7.55070565
1150,100,19.334,0.051722,3779.8,4303.8,7.5729,1.9669,2.4866,808.88,0.28319,43.832,0.12508,vapor,3779.63941,4293.556,7.57240565
1160,100,19.155,0.052205,3799.8,4328.7,7.5944,1.9727,2.4907,812.38,0.27607,44.202,0.12654,vapor,3799.63941,4318.456,7.59390565
1170,100,18.98,0.052687,3819.8,4353.7,7.6158,1.9785,2.4949,815.86,0.26917,44.57,0.128,vapor,3819.63941,4343.456,7.61530565
1180,100,18.808,0.053169,3839.9,4378.6,7.6371,1.9844,2.4992,819.31,0.26248,44.938,0.12946,vapor,3839.73941,4368.356,7.63660565
1190,100,18.64,0.053649,3860,4403.6,7.6582,1.9902,2.5036,822.75,0.25599,45.305,0.13092,vapor,3859.83941,4393.356,7.65770565
1200,100,18.474,0.054129,3880.2,4428.7,7.6792,1.9961,2.508,826.16,0.24969,45.67,0.13239,vapor,3880.03941,4418.456,7.67870565
