Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Adjusted Internal Energy,Adjusted Enthalpy,Adjusted Entropy
360,100,57.793,0.017303,810.56,985.88,4.5735,1.9318,2.8002,495.19,0.40507,14.857,0.050217,supercritical,887.951,1041.136,5.34624
370,100,55.707,0.017951,831.98,1013.9,4.6502,1.9597,2.7987,502.46,0.38031,15.072,0.051491,supercritical,909.371,1069.156,5.42294
380,100,53.794,0.018589,853.51,1041.9,4.7249,1.9891,2.8024,509.5,0.35712,15.291,0.052831,supercritical,930.901,1097.156,5.49764
390,100,52.033,0.019219,875.2,1069.9,4.7978,2.0197,2.8106,516.31,0.33543,15.515,0.054232,supercritical,952.591,1125.156,5.57054
400,100,50.403,0.01984,897.06,1098.1,4.8691,2.0513,2.8225,522.93,0.31514,15.741,0.055689,supercritical,974.451,1153.356,5.64184
410,100,48.888,0.020455,919.13,1126.4,4.939,2.0839,2.8375,529.38,0.29615,15.97,0.057197,supercritical,996.521,1181.656,5.71174
420,100,47.477,0.021063,941.43,1154.9,5.0075,2.1172,2.8551,535.65,0.27837,16.2,0.058751,supercritical,1018.821,1210.156,5.78024
430,100,46.156,0.021665,963.98,1183.5,5.0749,2.1513,2.8751,541.78,0.26173,16.431,0.06035,supercritical,1041.371,1238.756,5.84764
440,100,44.918,0.022263,986.78,1212.4,5.1413,2.1859,2.897,547.77,0.24615,16.663,0.061989,supercritical,1064.171,1267.656,5.91404
450,100,43.754,0.022855,1009.9,1241.4,5.2067,2.221,2.9206,553.63,0.23154,16.896,0.063666,supercritical,1087.291,1296.656,5.97944
460,100,42.656,0.023443,1033.2,1270.8,5.2711,2.2564,2.9457,559.38,0.21785,17.128,0.065379,supercritical,1110.591,1326.056,6.04384
470,100,41.619,0.024028,1056.9,1300.4,5.3348,2.2923,2.972,565.02,0.205,17.361,0.067126,supercritical,1134.291,1355.656,6.10754
480,100,40.637,0.024608,1080.9,1330.2,5.3976,2.3283,2.9993,570.55,0.19294,17.593,0.068903,supercritical,1158.291,1385.456,6.17034
490,100,39.706,0.025185,1105.2,1360.4,5.4597,2.3646,3.0276,575.99,0.18161,17.825,0.070711,supercritical,1182.591,1415.656,6.23244
500,100,38.821,0.025759,1129.8,1390.8,5.5212,2.4011,3.0567,581.35,0.17096,18.056,0.072546,supercritical,1207.191,1446.056,6.29394
510,100,37.979,0.02633,1154.7,1421.5,5.582,2.4376,3.0864,586.61,0.16094,18.286,0.074407,supercritical,1232.091,1476.756,6.35474
520,100,37.177,0.026899,1180,1452.5,5.6422,2.4742,3.1168,591.81,0.15151,18.516,0.076294,supercritical,1257.391,1507.756,6.41494
