Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Adjusted Internal Energy,Adjusted Enthalpy,Adjusted Entropy
850,100,2.8241,0.3541,8462.7,12051,49.606,10.672,14.783,2255.2,-0.10651,18.46,0.40849,supercritical,8526.394,11993.399,53.6996
860,100,2.792,0.35816,8569.4,12198,49.779,10.685,14.796,2267.4,-0.10658,18.613,0.41227,supercritical,8633.094,12140.399,53.8726
870,100,2.7607,0.36223,8676.2,12347,49.95,10.697,14.808,2279.5,-0.10665,18.765,0.41605,supercritical,8739.894,12289.399,54.0436
880,100,2.7301,0.36629,8783.2,12495,50.119,10.711,14.821,2291.5,-0.1067,18.916,0.41984,supercritical,8846.894,12437.399,54.2126
890,100,2.7001,0.37035,8890.3,12643,50.287,10.724,14.834,2303.5,-0.10675,19.068,0.42364,supercritical,8953.994,12585.399,54.3806
900,100,2.6708,0.37442,8997.5,12791,50.453,10.738,14.848,2315.3,-0.10678,19.218,0.42744,supercritical,9061.194,12733.399,54.5466
910,100,2.6421,0.37848,9104.9,12940,50.617,10.752,14.861,2327.1,-0.10681,19.369,0.43125,supercritical,9168.594,12882.399,54.7106
920,100,2.6141,0.38254,9212.4,13089,50.779,10.766,14.875,2338.9,-0.10683,19.518,0.43507,supercritical,9276.094,13031.399,54.8726
930,100,2.5866,0.38661,9320.1,13237,50.94,10.78,14.89,2350.5,-0.10684,19.668,0.4389,supercritical,9383.794,13179.399,55.0336
940,100,2.5597,0.39067,9427.9,13386,51.1,10.795,14.904,2362.1,-0.10684,19.817,0.44273,supercritical,9491.594,13328.399,55.1936
950,100,2.5333,0.39473,9535.8,13535,51.257,10.81,14.919,2373.6,-0.10684,19.965,0.44657,supercritical,9599.494,13477.399,55.3506
960,100,2.5075,0.3988,9643.9,13685,51.414,10.826,14.935,2385,-0.10683,20.113,0.45042,supercritical,9707.594,13627.399,55.5076
970,100,2.4822,0.40286,9752.2,13834,51.569,10.842,14.95,2396.4,-0.10681,20.261,0.45427,supercritical,9815.894,13776.399,55.6626
980,100,2.4575,0.40692,9860.6,13984,51.722,10.858,14.966,2407.7,-0.10679,20.408,0.45814,supercritical,9924.294,13926.399,55.8156
990,100,2.4332,0.41099,9969.2,14133,51.874,10.874,14.982,2418.9,-0.10676,20.555,0.46201,supercritical,10032.894,14075.399,55.9676
1000,100,2.4094,0.41505,10078,14283,52.025,10.89,14.998,2430,-0.10672,20.702,0.46589,supercritical,10141.694,14225.399,56.1186
