Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K)
910,100,36.151,0.027662,697.53,977.82,6.661,0.85453,1.1593,628.3,-0.10352,39.454,0.062347,supercritical,851.42,1120.24,4.2867
920,100,35.768,0.027958,706.13,989.42,6.6737,0.85672,1.1612,631.29,-0.10496,39.728,0.062819,supercritical,860.02,1131.84,4.2994
930,100,35.392,0.028255,714.75,1001,6.6862,0.8589,1.1632,634.27,-0.10635,40.001,0.063291,supercritical,868.64,1143.42,4.3119
940,100,35.025,0.028551,723.38,1012.7,6.6987,0.86105,1.1651,637.23,-0.1077,40.274,0.063761,supercritical,877.27,1155.12,4.3244
950,100,34.665,0.028848,732.04,1024.3,6.711,0.86319,1.167,640.18,-0.10901,40.545,0.06423,supercritical,885.93,1166.72,4.3367
960,100,34.312,0.029144,740.72,1036,6.7233,0.86531,1.1689,643.11,-0.11029,40.815,0.064698,supercritical,894.61,1178.42,4.349
970,100,33.967,0.02944,749.42,1047.7,6.7354,0.8674,1.1708,646.02,-0.11152,41.084,0.065165,supercritical,903.31,1190.12,4.3611
980,100,33.629,0.029736,758.14,1059.4,6.7474,0.86948,1.1727,648.92,-0.11272,41.352,0.065631,supercritical,912.03,1201.82,4.3731
990,100,33.298,0.030032,766.87,1071.2,6.7593,0.87153,1.1746,651.81,-0.11389,41.619,0.066096,supercritical,920.76,1213.62,4.385
1000,100,32.973,0.030328,775.63,1082.9,6.7711,0.87356,1.1764,654.68,-0.11502,41.885,0.06656,supercritical,929.52,1225.32,4.3968
1010,100,32.654,0.030624,784.41,1094.7,6.7829,0.87557,1.1783,657.54,-0.11613,42.151,0.067023,supercritical,938.3,1237.12,4.4086
1020,100,32.342,0.03092,793.2,1106.5,6.7945,0.87756,1.1801,660.38,-0.1172,42.415,0.067485,supercritical,947.09,1248.92,4.4202
1030,100,32.036,0.031215,802.02,1118.3,6.806,0.87953,1.1819,663.21,-0.11824,42.678,0.067946,supercritical,955.91,1260.72,4.4317
1040,100,31.735,0.031511,810.85,1130.1,6.8174,0.88148,1.1837,666.03,-0.11926,42.941,0.068406,supercritical,964.74,1272.52,4.4431
1050,100,31.44,0.031806,819.7,1142,6.8288,0.8834,1.1855,668.83,-0.12024,43.202,0.068865,supercritical,973.59,1284.42,4.4545
1060,100,31.151,0.032102,828.57,1153.8,6.84,0.8853,1.1872,671.62,-0.1212,43.463,0.069323,supercritical,982.46,1296.22,4.4657
1070,100,30.867,0.032397,837.46,1165.7,6.8512,0.88718,1.189,674.4,-0.12214,43.723,0.06978,supercritical,991.35,1308.12,4.4769
1080,100,30.588,0.032693,846.37,1177.6,6.8622,0.88904,1.1907,677.17,-0.12305,43.982,0.070236,supercritical,1000.26,1320.02,4.4879
1090,100,30.314,0.032988,855.29,1189.5,6.8732,0.89088,1.1924,679.93,-0.12393,44.24,0.070692,supercritical,1009.18,1331.92,4.4989
1100,100,30.045,0.033283,864.23,1201.5,6.8841,0.89269,1.1941,682.67,-0.1248,44.498,0.071146,supercritical,1018.12,1343.92,4.5098
1110,100,29.781,0.033578,873.19,1213.4,6.8949,0.89448,1.1957,685.4,-0.12564,44.754,0.0716,supercritical,1027.08,1355.82,4.5206
1120,100,29.522,0.033873,882.17,1225.4,6.9057,0.89625,1.1974,688.12,-0.12646,45.01,0.072053,supercritical,1036.06,1367.82,4.5314
1130,100,29.267,0.034168,891.16,1237.4,6.9163,0.898,1.199,690.83,-0.12726,45.265,0.072505,supercritical,1045.05,1379.82,4.542
1140,100,29.017,0.034463,900.17,1249.4,6.9269,0.89972,1.2006,693.52,-0.12804,45.52,0.072956,supercritical,1054.06,1391.82,4.5526
1150,100,28.77,0.034758,909.19,1261.4,6.9374,0.90143,1.2022,696.21,-0.12879,45.773,0.073407,supercritical,1063.08,1403.82,4.5631
1160,100,28.528,0.035053,918.24,1273.4,6.9478,0.90311,1.2038,698.89,-0.12953,46.026,0.073857,supercritical,1072.13,1415.82,4.5735
1170,100,28.291,0.035348,927.3,1285.5,6.9581,0.90477,1.2053,701.55,-0.13026,46.278,0.074306,supercritical,1081.19,1427.92,4.5838
1180,100,28.057,0.035642,936.37,1297.5,6.9684,0.90641,1.2069,704.21,-0.13096,46.53,0.074754,supercritical,1090.26,1439.92,4.5941
1190,100,27.827,0.035937,945.46,1309.6,6.9786,0.90803,1.2084,706.85,-0.13165,46.78,0.075201,supercritical,1099.35,1452.02,4.6043
1200,100,27.6,0.036232,954.57,1321.7,6.9887,0.90963,1.2099,709.49,-0.13232,47.03,0.075648,supercritical,1108.46,1464.12,4.6144
1210,100,27.378,0.036526,963.69,1333.8,6.9987,0.91121,1.2114,712.11,-0.13298,47.28,0.076094,supercritical,1117.58,1476.22,4.6244
1220,100,27.159,0.036821,972.82,1345.9,7.0087,0.91276,1.2129,714.72,-0.13362,47.528,0.076539,supercritical,1126.71,1488.32,4.6344
1230,100,26.943,0.037115,981.98,1358,7.0186,0.9143,1.2143,717.33,-0.13424,47.776,0.076984,supercritical,1135.87,1500.42,4.6443
1240,100,26.731,0.03741,991.14,1370.2,7.0285,0.91582,1.2157,719.92,-0.13485,48.024,0.077428,supercritical,1145.03,1512.62,4.6542
1250,100,26.522,0.037704,1000.3,1382.4,7.0382,0.91732,1.2171,722.51,-0.13545,48.27,0.077871,supercritical,1154.19,1524.82,4.6639
1260,100,26.317,0.037998,1009.5,1394.5,7.0479,0.91879,1.2185,725.09,-0.13603,48.516,0.078314,supercritical,1163.39,1536.92,4.6736
1270,100,26.115,0.038293,1018.7,1406.7,7.0576,0.92025,1.2199,727.65,-0.1366,48.762,0.078756,supercritical,1172.59,1549.12,4.6833
1280,100,25.915,0.038587,1028,1418.9,7.0672,0.92169,1.2213,730.21,-0.13715,49.007,0.079197,supercritical,1181.89,1561.32,4.6929
1290,100,25.719,0.038881,1037.2,1431.2,7.0767,0.92311,1.2226,732.76,-0.1377,49.251,0.079638,supercritical,1191.09,1573.62,4.7024
1300,100,25.526,0.039176,1046.4,1443.4,7.0861,0.92451,1.224,735.3,-0.13823,49.495,0.080078,supercritical,1200.29,1585.82,4.7118
1310,100,25.336,0.03947,1055.7,1455.6,7.0955,0.92589,1.2253,737.83,-0.13875,49.738,0.080517,supercritical,1209.59,1598.02,4.7212
1320,100,25.148,0.039764,1065,1467.9,7.1048,0.92726,1.2266,740.35,-0.13925,49.98,0.080956,supercritical,1218.89,1610.32,4.7305
1330,100,24.964,0.040058,1074.3,1480.2,7.1141,0.9286,1.2278,742.87,-0.13975,50.222,0.081395,supercritical,1228.19,1622.62,4.7398
1340,100,24.782,0.040352,1083.6,1492.5,7.1233,0.92993,1.2291,745.37,-0.14024,50.464,0.081832,supercritical,1237.49,1634.92,4.749
1350,100,24.602,0.040646,1092.9,1504.7,7.1324,0.93124,1.2304,747.87,-0.14071,50.705,0.08227,supercritical,1246.79,1647.12,4.7581
1360,100,24.426,0.04094,1102.2,1517.1,7.1415,0.93254,1.2316,750.36,-0.14118,50.945,0.082706,supercritical,1256.09,1659.52,4.7672
1370,100,24.252,0.041234,1111.6,1529.4,7.1505,0.93381,1.2328,752.84,-0.14163,51.185,0.083142,supercritical,1265.49,1671.82,4.7762
1380,100,24.08,0.041528,1120.9,1541.7,7.1595,0.93507,1.234,755.31,-0.14208,51.424,0.083578,supercritical,1274.79,1684.12,4.7852
1390,100,23.911,0.041822,1130.3,1554.1,7.1684,0.93631,1.2352,757.78,-0.14251,51.663,0.084013,supercritical,1284.19,1696.52,4.7941
1400,100,23.744,0.042116,1139.7,1566.4,7.1773,0.93754,1.2364,760.23,-0.14294,51.901,0.084448,supercritical,1293.59,1708.82,4.803
1410,100,23.579,0.04241,1149.1,1578.8,7.1861,0.93875,1.2375,762.68,-0.14336,52.139,0.084882,supercritical,1302.99,1721.22,4.8118
1420,100,23.417,0.042704,1158.5,1591.2,7.1948,0.93994,1.2386,765.12,-0.14377,52.376,0.085315,supercritical,1312.39,1733.62,4.8205
1430,100,23.257,0.042998,1167.9,1603.6,7.2035,0.94112,1.2398,767.56,-0.14417,52.613,0.085748,supercritical,1321.79,1746.02,4.8292
1440,100,23.099,0.043292,1177.3,1616,7.2122,0.94229,1.2409,769.98,-0.14456,52.85,0.086181,supercritical,1331.19,1758.42,4.8379
1450,100,22.943,0.043585,1186.7,1628.4,7.2208,0.94343,1.242,772.4,-0.14495,53.086,0.086613,supercritical,1340.59,1770.82,4.8465
1460,100,22.79,0.043879,1196.2,1640.8,7.2293,0.94457,1.2431,774.81,-0.14532,53.321,0.087045,supercritical,1350.09,1783.22,4.855
1470,100,22.638,0.044173,1205.7,1653.2,7.2378,0.94568,1.2441,777.22,-0.14569,53.556,0.087476,supercritical,1359.59,1795.62,4.8635
1480,100,22.489,0.044467,1215.1,1665.7,7.2462,0.94679,1.2452,779.61,-0.14605,53.791,0.087906,supercritical,1368.99,1808.12,4.8719
1490,100,22.341,0.04476,1224.6,1678.1,7.2546,0.94787,1.2462,782,-0.14641,54.025,0.088337,supercritical,1378.49,1820.52,4.8803
1500,100,22.196,0.045054,1234.1,1690.6,7.263,0.94895,1.2473,784.38,-0.14676,54.258,0.088767,supercritical,1387.99,1833.02,4.8887
1510,100,22.052,0.045348,1243.6,1703.1,7.2712,0.95001,1.2483,786.76,-0.1471,54.492,0.089196,supercritical,1397.49,1845.52,4.8969
