Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Adjusted Internal Energy,Adjusted Enthalpy,Adjusted Entropy
300,98,800.32,0.0012495,249.6,262,1.1904,0.95044,3.0087,412.31,0.1811,71.601,0.088013,liquid,-201.42,-245.42,-1.5517
300,99,802.19,0.0012466,249.2,261.7,1.189,0.9493,2.9827,415.15,0.17798,71.938,0.088273,liquid,-201.82,-245.72,-1.5531
300,100,804.01,0.0012438,248.81,261.41,1.1876,0.9482,2.9578,417.94,0.17495,72.269,0.088529,liquid,-202.21,-246.01,-1.5545
300,101,805.81,0.001241,248.43,261.13,1.1863,0.94716,2.9339,420.68,0.17203,72.595,0.088782,liquid,-202.59,-246.29,-1.5558
300,102,807.56,0.0012383,248.05,260.85,1.1849,0.94615,2.9109,423.38,0.16919,72.917,0.089032,liquid,-202.97,-246.57,-1.5572
300,103,809.28,0.0012357,247.69,260.58,1.1836,0.94519,2.8889,426.04,0.16644,73.234,0.08928,liquid,-203.33,-246.84,-1.5585
300,104,810.98,0.0012331,247.32,260.32,1.1823,0.94427,2.8677,428.65,0.16377,73.547,0.089525,liquid,-203.7,-247.1,-1.5598
300,105,812.63,0.0012306,246.97,260.06,1.181,0.94338,2.8472,431.23,0.16117,73.856,0.089767,liquid,-204.05,-247.36,-1.5611
300,106,814.26,0.0012281,246.62,259.81,1.1798,0.94253,2.8275,433.76,0.15865,74.161,0.090007,liquid,-204.4,-247.61,-1.5623
300,107,815.87,0.0012257,246.27,259.56,1.1785,0.94171,2.8086,436.26,0.1562,74.462,0.090244,liquid,-204.75,-247.86,-1.5636
300,108,817.44,0.0012233,245.93,259.32,1.1773,0.94092,2.7902,438.72,0.15382,74.759,0.090479,liquid,-205.09,-248.1,-1.5648
300,109,818.99,0.001221,245.6,259.08,1.1761,0.94017,2.7725,441.15,0.1515,75.053,0.090711,liquid,-205.42,-248.34,-1.566
300,110,820.51,0.0012188,245.27,258.85,1.1749,0.93944,2.7554,443.54,0.14924,75.344,0.090941,liquid,-205.75,-248.57,-1.5672
300,111,822.01,0.0012165,244.95,258.63,1.1738,0.93873,2.7388,445.9,0.14704,75.631,0.091169,liquid,-206.07,-248.79,-1.5683
300,112,823.49,0.0012144,244.63,258.41,1.1726,0.93805,2.7228,448.23,0.14489,75.915,0.091395,liquid,-206.39,-249.01,-1.5695
300,113,824.94,0.0012122,244.31,258.19,1.1715,0.9374,2.7073,450.53,0.1428,76.195,0.091619,liquid,-206.71,-249.23,-1.5706
300,114,826.37,0.0012101,244,257.98,1.1704,0.93676,2.6922,452.8,0.14076,76.473,0.09184,liquid,-207.02,-249.44,-1.5717
300,115,827.78,0.0012081,243.69,257.77,1.1693,0.93615,2.6776,455.05,0.13876,76.748,0.09206,liquid,-207.33,-249.65,-1.5728
300,116,829.17,0.001206,243.39,257.56,1.1682,0.93556,2.6634,457.26,0.13681,77.021,0.092277,liquid,-207.63,-249.86,-1.5739
300,117,830.54,0.001204,243.09,257.36,1.1671,0.93499,2.6496,459.45,0.13491,77.29,0.092493,liquid,-207.93,-250.06,-1.575
300,118,831.89,0.0012021,242.79,257.17,1.166,0.93444,2.6362,461.61,0.13305,77.557,0.092707,liquid,-208.23,-250.25,-1.5761
300,119,833.22,0.0012002,242.5,256.97,1.165,0.93391,2.6232,463.75,0.13124,77.821,0.092919,liquid,-208.52,-250.45,-1.5771
300,120,834.54,0.0011983,242.21,256.78,1.164,0.93339,2.6106,465.86,0.12946,78.083,0.093129,liquid,-208.81,-250.64,-1.5781
