Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Adjusted Internal Energy,Adjusted Enthalpy,Adjusted Entropy
300,170,12.6,0.079368,2677.7,4044.8,32.149,10.325,14.673,1468.1,-0.071581,9.2116,0.20029,supercritical,-42.5,86.5,-21.315
300,171,12.666,0.078949,2677.5,4045.4,32.124,10.325,14.674,1469,-0.071665,9.2141,0.20035,supercritical,-42.6999999999998,87.0999999999999,-21.34
300,172,12.733,0.078536,2677.3,4046,32.1,10.326,14.676,1469.9,-0.071749,9.2166,0.20042,supercritical,-42.8999999999996,87.6999999999998,-21.364
300,173,12.8,0.078127,2677,4046.6,32.075,10.327,14.677,1470.8,-0.071833,9.2191,0.20049,supercritical,-43.1999999999998,88.2999999999997,-21.389
300,174,12.866,0.077723,2676.8,4047.1,32.051,10.328,14.679,1471.7,-0.071916,9.2216,0.20055,supercritical,-43.3999999999996,88.7999999999997,-21.413
300,175,12.933,0.077324,2676.6,4047.7,32.027,10.329,14.68,1472.6,-0.072,9.2241,0.20062,supercritical,-43.5999999999999,89.3999999999996,-21.437
300,176,12.999,0.076929,2676.4,4048.3,32.002,10.329,14.682,1473.5,-0.072083,9.2266,0.20069,supercritical,-43.7999999999997,90,-21.462
300,177,13.065,0.076538,2676.2,4048.9,31.978,10.33,14.683,1474.4,-0.072165,9.2292,0.20076,supercritical,-44,90.5999999999999,-21.486
300,178,13.132,0.076153,2676,4049.5,31.955,10.331,14.685,1475.3,-0.072248,9.2317,0.20082,supercritical,-44.1999999999998,91.1999999999998,-21.509
300,179,13.198,0.075771,2675.8,4050.1,31.931,10.332,14.686,1476.2,-0.07233,9.2342,0.20089,supercritical,-44.3999999999996,91.7999999999997,-21.533
300,180,13.264,0.075394,2675.6,4050.7,31.907,10.333,14.688,1477.1,-0.072412,9.2368,0.20096,supercritical,-44.5999999999999,92.3999999999996,-21.557
300,181,13.33,0.07502,2675.4,4051.3,31.884,10.333,14.689,1478,-0.072493,9.2393,0.20103,supercritical,-44.7999999999997,93,-21.58
300,182,13.396,0.074651,2675.2,4051.9,31.861,10.334,14.691,1478.9,-0.072575,9.2419,0.2011,supercritical,-45,93.5999999999999,-21.603
300,183,13.461,0.074286,2675,4052.4,31.837,10.335,14.692,1479.8,-0.072656,9.2445,0.20116,supercritical,-45.1999999999998,94.0999999999999,-21.627
300,184,13.527,0.073925,2674.8,4053,31.814,10.336,14.694,1480.6,-0.072737,9.247,0.20123,supercritical,-45.3999999999996,94.6999999999998,-21.65
300,185,13.593,0.073568,2674.6,4053.6,31.792,10.337,14.695,1481.5,-0.072817,9.2496,0.2013,supercritical,-45.5999999999999,95.2999999999997,-21.672
300,186,13.658,0.073215,2674.4,4054.2,31.769,10.337,14.697,1482.4,-0.072897,9.2522,0.20137,supercritical,-45.7999999999997,95.8999999999996,-21.695
300,187,13.724,0.072865,2674.2,4054.8,31.746,10.338,14.698,1483.3,-0.072977,9.2548,0.20144,supercritical,-46,96.5,-21.718
300,188,13.789,0.07252,2674,4055.4,31.723,10.339,14.699,1484.2,-0.073057,9.2574,0.20151,supercritical,-46.1999999999998,97.0999999999999,-21.741
300,189,13.855,0.072178,2673.8,4056,31.701,10.34,14.701,1485.1,-0.073137,9.26,0.20158,supercritical,-46.3999999999996,97.6999999999998,-21.763
300,190,13.92,0.071839,2673.6,4056.6,31.679,10.341,14.702,1486,-0.073216,9.2627,0.20165,supercritical,-46.5999999999999,98.2999999999997,-21.785
300,191,13.985,0.071504,2673.4,4057.2,31.656,10.341,14.704,1486.9,-0.073295,9.2653,0.20171,supercritical,-46.7999999999997,98.8999999999996,-21.808
300,192,14.05,0.071173,2673.2,4057.8,31.634,10.342,14.705,1487.8,-0.073373,9.2679,0.20178,supercritical,-47,99.5,-21.83
300,193,14.115,0.070845,2673,4058.4,31.612,10.343,14.706,1488.7,-0.073452,9.2706,0.20185,supercritical,-47.1999999999998,100.1,-21.852
300,194,14.18,0.07052,2672.8,4059,31.591,10.344,14.708,1489.6,-0.07353,9.2732,0.20192,supercritical,-47.3999999999996,100.7,-21.873
300,195,14.245,0.070199,2672.6,4059.6,31.569,10.345,14.709,1490.5,-0.073608,9.2759,0.20199,supercritical,-47.5999999999999,101.3,-21.895
300,196,14.31,0.069881,2672.4,4060.2,31.547,10.345,14.711,1491.4,-0.073685,9.2786,0.20206,supercritical,-47.7999999999997,101.9,-21.917
300,197,14.375,0.069566,2672.2,4060.8,31.526,10.346,14.712,1492.3,-0.073763,9.2812,0.20213,supercritical,-48,102.5,-21.938
300,198,14.439,0.069255,2672,4061.4,31.504,10.347,14.713,1493.2,-0.07384,9.2839,0.2022,supercritical,-48.1999999999998,103.1,-21.96
300,199,14.504,0.068946,2671.8,4062,31.483,10.348,14.715,1494.1,-0.073916,9.2866,0.20227,supercritical,-48.3999999999996,103.7,-21.981
300,200,14.569,0.068641,2671.6,4062.6,31.462,10.349,14.716,1495,-0.073993,9.2893,0.20234,supercritical,-48.5999999999999,104.3,-22.002
300,201,14.633,0.068339,2671.4,4063.2,31.44,10.349,14.717,1495.9,-0.074069,9.292,0.20242,supercritical,-48.7999999999997,104.9,-22.024
300,202,14.697,0.06804,2671.2,4063.8,31.419,10.35,14.719,1496.8,-0.074145,9.2947,0.20249,supercritical,-49,105.5,-22.045
300,203,14.762,0.067743,2671,4064.5,31.399,10.351,14.72,1497.7,-0.074221,9.2974,0.20256,supercritical,-49.1999999999998,106.2,-22.065
300,204,14.826,0.06745,2670.8,4065.1,31.378,10.352,14.721,1498.6,-0.074296,9.3001,0.20263,supercritical,-49.3999999999996,106.8,-22.086
300,205,14.89,0.06716,2670.7,4065.7,31.357,10.352,14.723,1499.5,-0.074371,9.3029,0.2027,supercritical,-49.5,107.4,-22.107
300,206,14.954,0.066872,2670.5,4066.3,31.336,10.353,14.724,1500.4,-0.074446,9.3056,0.20277,supercritical,-49.6999999999998,108,-22.128
300,207,15.018,0.066587,2670.3,4066.9,31.316,10.354,14.725,1501.3,-0.074521,9.3083,0.20284,supercritical,-49.8999999999996,108.6,-22.148
300,208,15.082,0.066305,2670.1,4067.5,31.296,10.355,14.727,1502.2,-0.074595,9.3111,0.20291,supercritical,-50.0999999999999,109.2,-22.168
300,209,15.146,0.066026,2669.9,4068.1,31.275,10.356,14.728,1503.1,-0.07467,9.3139,0.20299,supercritical,-50.2999999999997,109.8,-22.189
300,210,15.209,0.065749,2669.7,4068.7,31.255,10.356,14.729,1504,-0.074743,9.3166,0.20306,supercritical,-50.5,110.4,-22.209
300,211,15.273,0.065475,2669.5,4069.3,31.235,10.357,14.731,1504.9,-0.074817,9.3194,0.20313,supercritical,-50.6999999999998,111,-22.229
300,212,15.337,0.065203,2669.3,4069.9,31.215,10.358,14.732,1505.8,-0.07489,9.3222,0.2032,supercritical,-50.8999999999996,111.6,-22.249
300,213,15.4,0.064934,2669.1,4070.6,31.195,10.359,14.733,1506.7,-0.074964,9.3249,0.20328,supercritical,-51.0999999999999,112.3,-22.269
300,214,15.464,0.064668,2668.9,4071.2,31.175,10.36,14.734,1507.6,-0.075036,9.3277,0.20335,supercritical,-51.2999999999997,112.9,-22.289
300,215,15.527,0.064404,2668.7,4071.8,31.155,10.36,14.736,1508.5,-0.075109,9.3305,0.20342,supercritical,-51.5,113.5,-22.309
300,216,15.59,0.064143,2668.6,4072.4,31.136,10.361,14.737,1509.4,-0.075181,9.3333,0.20349,supercritical,-51.5999999999999,114.1,-22.328
300,217,15.653,0.063884,2668.4,4073,31.116,10.362,14.738,1510.3,-0.075253,9.3361,0.20357,supercritical,-51.7999999999997,114.7,-22.348
300,218,15.717,0.063627,2668.2,4073.6,31.097,10.363,14.74,1511.2,-0.075325,9.339,0.20364,supercritical,-52,115.3,-22.367
300,219,15.78,0.063373,2668,4074.2,31.077,10.364,14.741,1512.1,-0.075397,9.3418,0.20371,supercritical,-52.1999999999998,115.9,-22.387
300,220,15.843,0.063121,2667.8,4074.9,31.058,10.364,14.742,1513,-0.075468,9.3446,0.20379,supercritical,-52.3999999999996,116.6,-22.406
300,221,15.906,0.062871,2667.6,4075.5,31.039,10.365,14.743,1513.9,-0.075539,9.3474,0.20386,supercritical,-52.5999999999999,117.2,-22.425
300,222,15.968,0.062623,2667.4,4076.1,31.02,10.366,14.745,1514.8,-0.07561,9.3503,0.20393,supercritical,-52.7999999999997,117.8,-22.444
300,223,16.031,0.062378,2667.3,4076.7,31.001,10.367,14.746,1515.7,-0.07568,9.3531,0.20401,supercritical,-52.8999999999996,118.4,-22.463
